course,AdvMan,AIEng,BioMedEng,EngBusiness,EnviroEng,NanoEng,RbtsNMech,SusEnergy
MIE438H1,N,N,N,N,N,N,Y,N
APS305H1,N,N,N,N,N,N,N,Y
ENV350H1,N,N,N,N,N,N,N,Y
ECE313H1,N,N,N,N,N,N,N,Y
ECE314H1,N,N,N,N,N,N,N,Y
MIE311H1,N,N,N,N,N,N,N,Y
MIE313H1,N,N,N,N,N,N,N,Y
MIE515H1,N,N,N,N,N,N,N,Y
MIE516H1,N,N,N,N,N,N,N,Y
MIE517H1,N,N,N,N,N,N,N,Y
ECE520H1,N,N,N,N,N,N,N,Y
APS530H1,N,N,N,N,N,N,N,Y
